NOME,SIGLA,LOGRADOURO,BAIRRO,CIDADE,UF,CEP
"23ª Delegacia do Serviço Militar da 2ª C S M","23ª Del SM / 2ª CSM","AV. JOSÉ TOZZE, 1399","CENTRO","São Mateus","ES","29930000"
"23º Esquadrão de Cavalaria de Selva","23º Esqd C Sl","Avenida dos Amazônidas, S/Nº","Vila Permanente","Tucurui","PA","68464000"
"23º Pelotão de Polícia do Exército","23º Pel PE","RUA VISCONDE MAUÁ S/N","VILA MILITAR","Cristalina","GO","73850000"
"24º Batalhão de Infantaria de Selva","24º BIS",,,"São Luís","MA",
"24ª Circunscrição de Serviço Militar","24ª CSM","RUA ALMINO AFONSO, 12","RIBEIRA","Natal","RN","59012010"
"24ª Delegacia do Serviço Militar da 12ª C S M","24ª Del SM / 12ª CSM","RUA MILTON BANDEIRA, 125 - SALA 1","CENTRO","Viçosa","MG","36570000"
"24ª Delegacia do Serviço Militar da 15ª C S M","24ª Del SM / 15ª CSM","AV. VISCONDE DE TAUNAY, 1054","RONDA","Ponta Grossa","PR","84051000"
"25º Batalhão de Caçadores","25º BC","PCA MAL FLORIANO PEIXOTO S/N","CENTRO","Teresina","PI","64000410"
"25º Batalhão de Infantaria Pára-Quedista","25º BI Pqdt","RUA GEN FONSECA RAMOS S/N","VILA MILITAR","Rio de Janeiro","RJ","21615110"
"25º Batalhão Logístico (Escola)","25º B Log (Es)","RUA SALUSTIANO SILVA, 395","MAGALHÃES BASTOS","Rio de Janeiro","RJ","21745590"
"25ª Circunscrição de Serviço Militar","25ª CSM","Aquartelamento General Tibúrcio - Av Luciano Carneiro, 840","Fátima","Fortaleza","CE","60411134"
"25ª Delegacia do Serviço Militar da 15ª C S M","25ª Del SM / 15ª CSM","RUA XV DE NOVEMBRO, 3430 - SALA 302 - EDIFICIO FONTES","CENTRO","Guarapuava","PR","85010000"
"25º Grupo de Artilharia de Campanha","25º GAC","RUA PADRE ABILIO SPONCHIADO, 680","ESTRELA DALVA","Bagé","RS","96415200"
"25º Pelotão de Polícia do Exército","25º Pel PE","Av Gen Carlos Cavalcante, 2176","Uvaranas","Ponta Grossa","PR","84025902"
"26º Batalhão de Infantaria Pára-Quedista","26º BI Pqdt","AV GENERAL BENEDITO DA SILVEIRA S/N","VILA MILITAR","Rio de Janeiro","RJ","21615110"
"26ª Circunscrição de Serviço Militar","26ª CSM","RUA SENADOR TEODORO PACHECO, 910","CENTRO","Teresina","PI","64001060"
"26ª Delegacia do Serviço Militar da 11ª C S M","26ª Del SM / 11ª CSM","RUA VIII, 35","FRIMISA","Santa Luzia","MG","38184002"
"26º Grupo de Artilharia de Campanha","26º GAC","AV MANOEL RIBAS, 2286","CENTRO","Guarapuava","PR","85010180"
"26º Pelotão de Polícia do Exército","26º Pel PE","AV BORGES DE MEDEIROS, 1515","CENTRO","Santa Maria","RS","97015090"
"27º Batalhão de Infantaria Pára-Quedista","27º BI Pqdt","RUA GEN FONSECA RAMOS S/N","VILA MILITAR","Rio de Janeiro","RJ","21615110"
"27º Batalhão Logístico","27º B Log","AV PREF ERASTO GAERTNER, 1874","BACACHERI","Curitiba","PR","82515000"
