NOME,SIGLA,LOGRADOURO,BAIRRO,CIDADE,UF,CEP
"9ª Delegacia do Serviço Militar da 12ª C S M","9ª Del SM / 12ª CSM","PRAÇA JOÃO LUIZ DA SILVA, 156","CENTRO","Conselheiro Pena","MG","35240000"
"9ª Delegacia do Serviço Militar da 13ª C S M","9ª Del SM / 13ª CSM","PRAÇA PADRE PAULO HARTIGERS, 87","CENTRO","Itajubá","MG","37500000"
"9ª Delegacia do Serviço Militar da 15ª C S M","9ª Del SM / 15ª CSM","AV. MANOEL RIBAS, 215-1° ANDAR","CENTRO","Jacarezinho","PR","86400000"
"9ª Delegacia do Serviço Militar da 16ª C S M","9ª Del SM / 16ª CSM","AV. D. PEDRO II, 1555 - TERMINAL RODOVIÁRIO","UNIVERSITÁRIO","Lages","SC","88509001"
"9ª Delegacia do Serviço Militar da 17ª C S M","9ª Del SM / 17ª CSM","AV. GETULIO VARGAS S/N","CENTRO","Feira de Santana","BA","44100000"
"9ª Delegacia do Serviço Militar da 2ª C S M","9ª Del SM / 2ª CSM","RUA DUQUE DE CAXIAS, 17","CENTRO","Itaperuna","RJ","28300000"
"9ª Delegacia do Serviço Militar da 23ª C S M","9ª Del SM / 23ª CSM","RUA JOSE GAUDÊNCIO NETO, S/N","CENTRO","Serra Branca","PB","58580000"
"9ª Delegacia do Serviço Militar da 24ª C S M","9ª Del SM / 24ª CSM","PRAÇA DOM VIDAL S/N","CIDADE ALTA","Natal","RN","59025380"
"9ª Delegacia do Serviço Militar da 25ª C S M","9ª Del SM / 25ª CSM","RUA EUBIA BARROSO, 2572","CENTRO","Itapipoca","CE","62500000"
"9ª Delegacia do Serviço Militar da 30ª C S M","9ª Del SM / 30ª CSM",,,"Cuiabá","MT","78000000"
"9ª Delegacia do Serviço Militar da 4ª C S M","9ª Del SM / 4ª CSM","RUA PRUDENTE DE MORAIS, 64","CENTRO","Guaratinguetá","SP","12500000"
"9ª Delegacia do Serviço Militar da 7ª C S M","9ª Del SM / 7ª CSM","RUA GOIAS, 14","CENTRO","Porangatu","GO","76550000"
"9ª Delegacia do Serviço Militar da 8ª C S M","9ª Del SM / 8ª CSM","RUA MALVIN JONES, 52","CENTRO","Cachoeira do Sul","RS","96501340"
"9º Grupo de Artilharia de Campanha","9º GAC","RUA CALÓGERAS, 272","CENTRO","Nioaque","MS","79220000"
"9ª Inspetoria de Contabilidade e Finanças do Exército","9ª ICFEx","RUA GEN NEPOMUCENO COSTA, 226","AMAMBAI","Campo Grande","MS","79100010"
"9º Pelotão de Polícia do Exército","9º Pel PE","RUA SALUSTIANO SILVA, 455","MAGALHÃES  BASTOS","Rio de Janeiro","RJ","21745590"
"9º Regimento de Cavalaria Blindado","9º RCB","AV FRANCISCO H DA SILVA,1874","CENTRO","São Gabriel","RS","97300000"
